Gender,Coffee_Temp,Days_Coffee_Consumed,Coffee_Consumed
Female,Iced,7,7
Male,Hot,5,5
Female,Iced,7,10
Female,Hot,4,4
Female,Iced,6,6
Male,Hot,4,4
Female,Hot,1,2
Female,Iced,2,6
Female,Iced,5,5
Female,Iced,7,10
Male,Iced,6,5
Female,Hot,2,1
Female,Iced,5,7
Male,Hot,6,6
Female,Iced,5,5
Male,Hot,7,10
Female,Hot,7,10
Female,Hot,7,9
Female,Hot,1,1
Female,Hot,7,7
Female,Hot,6,6
Male,Iced,7,9
Female,Hot,7,10
Female,Hot,7,10
Female,Iced,4,4
Male,Hot,3,3
Male,Hot,7,10
Male,Iced,7,10
Female,Iced,7,10
Male,Iced,6,6
Female,Hot,3,3
Female,Hot,2,2
Male,Iced,7,10
Male,Hot,7,10
Male,Hot,2,2
Male,Hot,5,5
Male,Iced,7,9
Male,Hot,7,10
Female,Iced,5,5
Male,Hot,7,7
Male,Hot,4,4
Female,Iced,1,1
Female,Hot,1,1
Male,Iced,3,3
Male,Hot,7,7
Male,Iced,3,3
Female,Iced,5,8
Female,Iced,2,2
Male,Hot,5,5
Male,Hot,5,5
Female,Iced,5,5
Female,Iced,2,2
Female,Iced,7,7
Female,Iced,3,3
Male,Hot,4,4
Female,Hot,7,1
Female,Iced,5,12
,,,2
Male,Iced,0,0
Female,Hot,5,1
Female,Hot,7,7
Female,Iced,6,12
Female,Hot,7,9
Female,Hot,0,0
Male,Iced,6,9
Female,Iced,7,7
Female,Hot,7,1
Female,Hot,7,7
Female,Hot,6,10
Female,Iced,2,2
Female,Hot,7,7
Female,Hot,3,3
Female,Iced,0,0
Female,Iced,4,4
Male,Iced,3,3
Male,Hot,0,0
Male,Iced,6,8
Male,Hot,5,5