Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
1/17/25,Friday,10.67,Uber,Travel,Debit,Need
1/17/25,Friday,12.11,Lunch,Food,Debit,Want
1/17/25,Friday,2.25,Bus,Travel,Debit,Need
1/18/25,Saturday,18.84,Lyft,Travel,Debit,Need
1/18/25,Saturday,44.43,Coffee and pastries,Food,Debit,Want
1/18/25,Saturday,8.10,BART,Travel,Debit,Need
1/19/25,Sunday,42.99,Groceries,Food,Debit,Need
1/21/25,Tuesday,20.00,Clipper Card Reload,Travel,Debit,Need
1/22/25,Wednesday,19.41,Amazon,Entertainment and Recreation,Debit,Want
1/22/25,Wednesday,22.90,Uber,Travel,Debit,Need
1/22/25,Wednesday,20.00,Acorns,Financial goals and Savings,Debit,Savings
1/22/25,Wednesday,7.10,Coffee ,Food,Debit,Want
1/23/25,Thursday,6.54,Kombucha,Food,Debit,Want
1/24/25,Friday,32.46,Groceries,Food,Debit,Need
1/24/25,Friday,9.40,Coffee and pastries,Food,Debit,Want
1/24/25,Friday,5.25,Coffee,Food,Debit,Want
1/24/25,Friday,6.45,Coffee,Food,Debit,Want
1/25/25,Saturday,20.00,Clipper Card Reload,Travel,Debit,Need
1/25/25,Saturday,18.33,Lyft,Travel,Debit,Need
1/25/25,Saturday,7.10,Coffee,Food,Debit,Want
1/26/25,Sunday,21.95,Amazon,Entertainment and Recreation,Debit,Want
1/27/25,Monday,80.18,Amazon,Entertainment and Recreation,Debit,Want
1/27/25,Monday,10.71,Uber,Travel,Debit,Need
1/28/25,Tuesday,11.62,Lunch,Food,Debit,Want
1/28/25,Tuesday,8.65,Coffee,Food,Debit,Want
1/28/25,Tuesday,6.85,Coffee,Food,Debit,Want
1/28/25,Tuesday,20.00,Acorns,Financial goals and Savings,Debit,Savings
1/28/25,Tuesday,14.99,Coffee,Food,Debit,Want
1/28/25,Tuesday,66.43,Groceries,Food,Debit,Need
1/29/25,Wednesday,9.22,Uber,Travel,Debit,Need
1/30/25,Thursday,15.00,Snacks,Food,Debit,Want
1/30/25,Thursday,20.00,Clipper Card Reload,Travel,Debit,Need
1/30/25,Thursday,14.99,Coffee,Food,Debit,Want